dhv_url,manufacturer,model,size,equipment_class,test_centre,test_date,report_url,match_failure_reason
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4149,UP International GmbH,Torre,XL,C,,2026-03-06,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4149,model not found: 'Torre' (mfr: up)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4148,UP International GmbH,Torre,L,C,,2026-03-06,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4148,model not found: 'Torre' (mfr: up)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4147,UP International GmbH,Torre,S,C,,2026-03-06,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4147,model not found: 'Torre' (mfr: up)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4146,UP International GmbH,Torre,SM,C,,2026-03-03,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4146,model not found: 'Torre' (mfr: up)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4140,UP International GmbH,Torre,M,C,,2026-03-03,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4140,model not found: 'Torre' (mfr: up)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4113,Papesh GmbH,PHI MAESTRO 3 light,18,B,,2026-03-02,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4113,model not found: 'PHI MAESTRO 3 light' (mfr: phi)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4074,Papesh GmbH,PHI MAESTRO 3 light,22,B,,2026-03-02,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4074,model not found: 'PHI MAESTRO 3 light' (mfr: phi)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4071,Papesh GmbH,PHI MAESTRO 3 light,17,B,,2026-03-02,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4071,model not found: 'PHI MAESTRO 3 light' (mfr: phi)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4130,UP International GmbH,K2 5,44,B,,2026-01-29,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4130,model not found: 'K2 5' (mfr: up)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4124,UP International GmbH,K2 5,41,B,,2026-01-29,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4124,model not found: 'K2 5' (mfr: up)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4076,Papesh GmbH,PHI MAESTRO 3 light,25,B,,2026-01-19,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4076,model not found: 'PHI MAESTRO 3 light' (mfr: phi)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4135,Skywalk GmbH & Co. KG,Mescal 7,105,A,,2026-01-09,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4135,model not found: 'Mescal 7' (mfr: skywalk)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4134,Skywalk GmbH & Co. KG,Mescal 7,115,A,,2026-01-09,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4134,model not found: 'Mescal 7' (mfr: skywalk)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4133,Skywalk GmbH & Co. KG,Mescal 7,95,A,,2026-01-09,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4133,model not found: 'Mescal 7' (mfr: skywalk)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4132,Skywalk GmbH & Co. KG,Mescal 7,85,A,,2026-01-09,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4132,model not found: 'Mescal 7' (mfr: skywalk)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4131,Skywalk GmbH & Co. KG,Mescal 7,75,A,,2026-01-09,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4131,model not found: 'Mescal 7' (mfr: skywalk)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4125,Skywalk GmbH & Co. KG,Mescal 7,135,A,,2026-01-09,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4125,model not found: 'Mescal 7' (mfr: skywalk)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4138,GIN Gliders Inc.,Bandit 2,XXS,B,,2025-12-15,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4138,model not found: 'Bandit 2' (mfr: gin)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4137,GIN Gliders Inc.,Bandit 2,XS,B,,2025-12-15,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4137,model not found: 'Bandit 2' (mfr: gin)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4128,GIN Gliders Inc.,Bandit 2,S,B,,2025-12-15,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4128,model not found: 'Bandit 2' (mfr: gin)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4127,GIN Gliders Inc.,Bandit 2,M,B,,2025-12-15,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4127,model not found: 'Bandit 2' (mfr: gin)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4126,GIN Gliders Inc.,Bandit 2,L,B,,2025-12-15,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4126,model not found: 'Bandit 2' (mfr: gin)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4116,Skywalk GmbH & Co. KG,XAlps6,105+,D,,2025-10-07,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4116,model not found: 'XAlps6' (mfr: skywalk)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4117,Papesh GmbH,PHI SOLA UL,16a,C,,2025-09-24,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4117,model not found: 'PHI SOLA UL' (mfr: phi)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4075,Papesh GmbH,PHI MAESTRO 3 light,23,B,,2025-09-18,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4075,model not found: 'PHI MAESTRO 3 light' (mfr: phi)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4073,Papesh GmbH,PHI MAESTRO 3 light,21,B,,2025-09-18,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4073,model not found: 'PHI MAESTRO 3 light' (mfr: phi)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4072,Papesh GmbH,PHI MAESTRO 3 light,19,B,,2025-09-18,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4072,model not found: 'PHI MAESTRO 3 light' (mfr: phi)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4070,Papesh GmbH,PHI MAESTRO 3,23,B,,2025-09-17,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4070,model not found: 'PHI MAESTRO 3' (mfr: phi)
https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4069,Papesh GmbH,PHI MAESTRO 3,22,B,,2025-09-17,https://service.dhv.de/db1/technicdatareport2.php?lang=EN&equptype=2&templatesetid=-1&idtype=-4069,model not found: 'PHI MAESTRO 3' (mfr: phi)
