slug,country,website,tier,status
advance,CH,https://www.advance.ch,t1,active
ozone,GB,https://www.flyozone.com,t1,active
nova,AT,https://www.nova.eu,t1,active
niviuk,ES,https://www.niviuk.com,t1,active
gin,KR,https://gingliders.com,t1,active
swing,DE,https://www.swing.de,t1,active
skywalk,DE,https://www.skywalk.info,t1,active
dudek,PL,https://www.dudek.eu,t1,active
macpara,SK,https://www.macpara.com,t1,active
up,,https://www.u-turn.de/up,t1,active
gradient,CZ,https://www.gradient.cx,t1,active
phi,,https://phi-air.com,t1,active
u-turn,DE,https://www.u-turn.de,t1,active
bgd,CH,https://www.bgd.systems,t2,active
triple-seven,CZ,https://www.777.cz,t2,active
airdesign,AT,https://www.air-design.at,t2,active
sky,CZ,https://www.sky-cz.com,t2,active
sol,BR,https://www.solparagliders.com.br,t2,active
icaro,IT,https://www.icaro2000.com,t2,active
apco,IL,https://apcoaviation.com,t2,active
axis,SK,https://www.axis-paragliders.com,t2,active
independence,DE,https://www.independence.aero,t2,active
supair,FR,https://www.supair.com,t2,active
flow,AU,https://www.flyflow.com.au,t2,active
nervures,FR,https://www.nervures.com,t2,active
aircross,FR,https://www.aircross.com,t2,active
itv,FR,,legacy,defunct
windtech,ES,,legacy,defunct
airwave,GB,,legacy,defunct
trekking,FR,,legacy,defunct
firebird,AT,,legacy,defunct
prodesign,AT,,legacy,defunct
edel,FR,,legacy,defunct
paratech,CH,,legacy,defunct
flightdesign,DE,,legacy,defunct
freex,DE,,legacy,defunct
skycountry,FR,,legacy,defunct
sun,FR,,legacy,defunct
comet,DE,,legacy,defunct
skyman,DE,https://skyman.aero,t2,active
littlecloud,FR,https://www.littlecloud.fr,t2,active
