manufacturer_slug,name,year,category,target_use,is_current,cell_count,line_material,riser_config,manufacturer_url,description,size_label,flat_area_m2,flat_span_m,flat_aspect_ratio,proj_area_m2,proj_span_m,proj_aspect_ratio,wing_weight_kg,ptv_min_kg,ptv_max_kg,speed_trim_kmh,speed_max_kmh,glide_ratio_best,min_sink_ms,cert_standard,cert_classification,cert_test_lab,cert_test_date,cert_report_url
ozone,Moxie,,paraglider,school,false,38,,,https://flyozone.com/paragliders/products/gliders/moxie,,XXS,20.4,9.9,4.81,17.24,7.62,3.37,4.16,45,65,,,,,EN,A,,,
ozone,Moxie,,paraglider,school,false,38,,,https://flyozone.com/paragliders/products/gliders/moxie,,XS,22.4,10.38,4.81,18.93,7.98,3.37,4.48,55,75,,,,,EN,A,,,
ozone,Moxie,,paraglider,school,false,38,,,https://flyozone.com/paragliders/products/gliders/moxie,,S,24.33,10.81,4.81,20.56,8.32,3.37,4.82,60,90,,,,,EN,A,,,
ozone,Moxie,,paraglider,school,false,38,,,https://flyozone.com/paragliders/products/gliders/moxie,,M,26.47,11.28,4.81,22.37,8.68,3.37,5.05,75,105,,,,,EN,A,,,
ozone,Moxie,,paraglider,school,false,38,,,https://flyozone.com/paragliders/products/gliders/moxie,,L,28.76,11.76,4.81,24.3,9.05,3.37,5.49,90,120,,,,,EN,A,,,
ozone,Moxie,,paraglider,school,false,38,,,https://flyozone.com/paragliders/products/gliders/moxie,,XL,31.3,12.26,4.81,26.4,9.43,3.37,5.9,105,135,,,,,EN,A,,,
ozone,Alta Gt,,paraglider,school,false,40,,,https://flyozone.com/paragliders/products/gliders/alta-gt,,XXS,20.16,10.05,5,16.82,7.56,3.4,3.18,45,65,,,,,EN,A,,,
ozone,Alta Gt,,paraglider,school,false,40,,,https://flyozone.com/paragliders/products/gliders/alta-gt,,XS,22.16,10.53,5,18.49,7.93,3.4,3.54,55,75,,,,,EN,A,,,
ozone,Alta Gt,,paraglider,school,false,40,,,https://flyozone.com/paragliders/products/gliders/alta-gt,,S,24.24,11.02,5,20.23,8.29,3.4,3.74,65,85,,,,,EN,A,,,
ozone,Alta Gt,,paraglider,school,false,40,,,https://flyozone.com/paragliders/products/gliders/alta-gt,,M,26.41,11.5,5,22.04,8.65,3.4,4.02,80,100,,,,,EN,A,,,
ozone,Alta Gt,,paraglider,school,false,40,,,https://flyozone.com/paragliders/products/gliders/alta-gt,,L,28.7,11.99,5,23.94,9.02,3.4,4.29,95,115,,,,,EN,A,,,
ozone,Alta Gt,,paraglider,school,false,40,,,https://flyozone.com/paragliders/products/gliders/alta-gt,,XL,31.2,12.5,5,26,9.4,3.4,4.55,110,130,,,,,EN,A,,,
ozone,Buzz Z7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/buzz-z7,,XS,22.1,10.67,5.15,18.6,8.21,3.62,4.36,55,70,,,,,EN,B,,,
ozone,Buzz Z7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/buzz-z7,,S,24.1,11.14,5.15,20.3,8.58,3.62,4.66,65,85,,,,,EN,B,,,
ozone,Buzz Z7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/buzz-z7,,MS,25.7,11.5,5.15,21.6,8.85,3.62,4.9,75,95,,,,,EN,B,,,
ozone,Buzz Z7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/buzz-z7,,ML,27.3,11.85,5.15,23,9.12,3.62,5.12,85,105,,,,,EN,B,,,
ozone,Buzz Z7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/buzz-z7,,L,29,12.21,5.15,24.4,9.4,3.62,5.43,95,115,,,,,EN,B,,,
ozone,Buzz Z7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/buzz-z7,,XL,31.2,12.68,5.15,26.3,9.76,3.62,5.74,110,130,,,,,EN,B,,,
ozone,Geo 7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/geo-7,,XS,22.2,10.69,5.16,18.7,8.23,3.62,3.34,55,70,,,,,EN,B,,,
ozone,Geo 7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/geo-7,,S,24.1,11.14,5.16,20.3,8.57,3.62,3.59,65,85,,,,,EN,B,,,
ozone,Geo 7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/geo-7,,MS,25.8,11.52,5.16,21.8,8.87,3.62,3.66,75,95,,,,,EN,B,,,
ozone,Geo 7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/geo-7,,ML,27.3,11.85,5.16,23,9.12,3.62,3.87,85,105,,,,,EN,B,,,
ozone,Geo 7,,paraglider,xc,false,48,,,https://flyozone.com/paragliders/products/gliders/geo-7,,L,29,12.22,5.16,24.5,9.4,3.62,4.11,95,115,,,,,EN,B,,,
ozone,Rush 6,,paraglider,xc,false,62,,,https://flyozone.com/paragliders/products/gliders/rush-6,,XS,20.05,10.69,5.7,17,8.43,4.18,4.32,55,72,,,,,EN,B,,,
ozone,Rush 6,,paraglider,xc,false,62,,,https://flyozone.com/paragliders/products/gliders/rush-6,,S,22.54,11.34,5.7,19.11,8.94,4.18,4.74,65,85,,,,,EN,B,,,
ozone,Rush 6,,paraglider,xc,false,62,,,https://flyozone.com/paragliders/products/gliders/rush-6,,MS,24.04,11.71,5.7,20.38,9.23,4.18,4.96,75,95,,,,,EN,B,,,
ozone,Rush 6,,paraglider,xc,false,62,,,https://flyozone.com/paragliders/products/gliders/rush-6,,ML,25.38,12.03,5.7,21.52,9.49,4.18,5.19,85,105,,,,,EN,B,,,
ozone,Rush 6,,paraglider,xc,false,62,,,https://flyozone.com/paragliders/products/gliders/rush-6,,L,26.7,12.34,5.7,22.64,9.73,4.18,5.39,95,115,,,,,EN,B,,,
ozone,Rush 6,,paraglider,xc,false,62,,,https://flyozone.com/paragliders/products/gliders/rush-6,,XL,28.67,12.79,5.7,24.31,10.09,4.18,5.65,110,130,,,,,EN,B,,,
ozone,Swift 6,,paraglider,xc,false,62,,,https://flyozone.com/paragliders/products/gliders/swift-6,,XS,20.05,10.69,5.7,17,8.43,4.18,3.57,55,72,,,,,EN,B,,,
ozone,Swift 6,,paraglider,xc,false,62,,,https://flyozone.com/paragliders/products/gliders/swift-6,,S,22.54,11.34,5.7,19.11,8.94,4.18,3.88,65,85,,,,,EN,B,,,
