manufacturer_slug,name,year,category,target_use,is_current,cell_count,line_material,riser_config,manufacturer_url,description,size_label,flat_area_m2,flat_span_m,flat_aspect_ratio,proj_area_m2,proj_span_m,proj_aspect_ratio,wing_weight_kg,ptv_min_kg,ptv_max_kg,speed_trim_kmh,speed_max_kmh,glide_ratio_best,min_sink_ms,cert_standard,cert_classification,cert_test_lab,cert_test_date,cert_report_url
ozone,Moxie,2021,paraglider,school,true,38,Edelrid unsheathed (upper),"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,School/beginner EN-A with Sharknose and winglets. 6 sizes XXS–LG covering 45–115 kg. First Ozone wing with winglets for improved safety.,XXS,20.4,9.9,4.81,17.24,7.62,3.37,4.16,45,65,,,,,EN,A,,,
ozone,Moxie,2021,paraglider,school,true,38,Edelrid unsheathed (upper),"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,School/beginner EN-A with Sharknose and winglets. 6 sizes XXS–LG covering 45–115 kg. First Ozone wing with winglets for improved safety.,XS,21.85,10.23,4.81,18.52,7.94,3.37,4.48,55,75,,,,,EN,A,,,
ozone,Moxie,2021,paraglider,school,true,38,Edelrid unsheathed (upper),"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,School/beginner EN-A with Sharknose and winglets. 6 sizes XXS–LG covering 45–115 kg. First Ozone wing with winglets for improved safety.,SM,23.43,10.6,4.81,19.87,8.23,3.37,4.72,65,85,,,,,EN,A,,,
ozone,Moxie,2021,paraglider,school,true,38,Edelrid unsheathed (upper),"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,School/beginner EN-A with Sharknose and winglets. 6 sizes XXS–LG covering 45–115 kg. First Ozone wing with winglets for improved safety.,MS,25.08,10.96,4.81,21.28,8.52,3.37,5.05,75,95,,,,,EN,A,,,
ozone,Moxie,2021,paraglider,school,true,38,Edelrid unsheathed (upper),"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,School/beginner EN-A with Sharknose and winglets. 6 sizes XXS–LG covering 45–115 kg. First Ozone wing with winglets for improved safety.,ML,27.0,11.38,4.81,22.9,8.84,3.42,5.41,85,105,,,,,EN,A,,,
ozone,Moxie,2021,paraglider,school,true,38,Edelrid unsheathed (upper),"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,School/beginner EN-A with Sharknose and winglets. 6 sizes XXS–LG covering 45–115 kg. First Ozone wing with winglets for improved safety.,LG,29.6,11.92,4.81,25.1,9.27,3.42,5.94,95,115,,,,,EN,A,,,
ozone,Alta GT,2025,paraglider,school,true,50,Dominico N20D (semi-light),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/alta-gt,New school/advanced-beginner EN-A with GT semi-light construction and 50 cells. Sits above Moxie for pilots wanting more performance in an A.,XXS,21.5,10.47,5.1,18.1,,3.75,4.5,50,70,,,,,EN,A,,,
ozone,Alta GT,2025,paraglider,school,true,50,Dominico N20D (semi-light),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/alta-gt,New school/advanced-beginner EN-A with GT semi-light construction and 50 cells. Sits above Moxie for pilots wanting more performance in an A.,XS,23.2,10.88,5.1,19.5,,3.75,4.75,60,80,,,,,EN,A,,,
ozone,Alta GT,2025,paraglider,school,true,50,Dominico N20D (semi-light),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/alta-gt,New school/advanced-beginner EN-A with GT semi-light construction and 50 cells. Sits above Moxie for pilots wanting more performance in an A.,SM,25.0,11.29,5.1,21.0,,3.75,5.0,70,90,,,,,EN,A,,,
ozone,Alta GT,2025,paraglider,school,true,50,Dominico N20D (semi-light),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/alta-gt,New school/advanced-beginner EN-A with GT semi-light construction and 50 cells. Sits above Moxie for pilots wanting more performance in an A.,MS,27.0,11.73,5.1,22.7,,3.75,5.3,80,100,,,,,EN,A,,,
ozone,Alta GT,2025,paraglider,school,true,50,Dominico N20D (semi-light),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/alta-gt,New school/advanced-beginner EN-A with GT semi-light construction and 50 cells. Sits above Moxie for pilots wanting more performance in an A.,ML,29.1,12.18,5.1,24.5,,3.75,5.6,90,110,,,,,EN,A,,,
ozone,Buzz Z7,2023,paraglider,school,true,47,Dominico 30D / Porcher 7000 (standard weight),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/buzz-z7,Standard-weight beginner/intermediate EN-B. 5 sizes XS–L. Improved planform with increased wing sweep for roll stability. Standard counterpart to Geo 7.,XS,22.2,10.69,5.14,18.7,8.23,3.62,4.9,55,75,,,,,EN,B,,,
ozone,Buzz Z7,2023,paraglider,school,true,47,Dominico 30D / Porcher 7000 (standard weight),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/buzz-z7,Standard-weight beginner/intermediate EN-B. 5 sizes XS–L. Improved planform with increased wing sweep for roll stability. Standard counterpart to Geo 7.,S,24.1,11.14,5.14,20.3,8.57,3.62,5.2,65,85,,,,,EN,B,,,
ozone,Buzz Z7,2023,paraglider,school,true,47,Dominico 30D / Porcher 7000 (standard weight),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/buzz-z7,Standard-weight beginner/intermediate EN-B. 5 sizes XS–L. Improved planform with increased wing sweep for roll stability. Standard counterpart to Geo 7.,MS,25.8,11.52,5.14,21.8,8.87,3.61,5.5,75,95,,,,,EN,B,,,
ozone,Buzz Z7,2023,paraglider,school,true,47,Dominico 30D / Porcher 7000 (standard weight),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/buzz-z7,Standard-weight beginner/intermediate EN-B. 5 sizes XS–L. Improved planform with increased wing sweep for roll stability. Standard counterpart to Geo 7.,ML,27.3,11.85,5.14,23.0,9.12,3.61,5.8,85,105,,,,,EN,B,,,
ozone,Buzz Z7,2023,paraglider,school,true,47,Dominico 30D / Porcher 7000 (standard weight),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/buzz-z7,Standard-weight beginner/intermediate EN-B. 5 sizes XS–L. Improved planform with increased wing sweep for roll stability. Standard counterpart to Geo 7.,L,29.0,12.22,5.14,24.5,9.4,3.61,6.1,95,115,,,,,EN,B,,,
ozone,Geo 7,2023,paraglider,school,true,48,Dominico N20D / N10D (lightweight),"3-liner (split-A, Linklite or steel maillons)",https://flyozone.com/paragliders/products/gliders/geo-7,Lightweight beginner/intermediate EN-B. 1.4 kg lighter than Buzz Z7. Highest XC performance in the beginner-intermediate category. 5 sizes XS–L.,XS,22.2,10.69,5.14,18.7,8.23,3.62,3.55,55,75,,,,,EN,B,,,
ozone,Geo 7,2023,paraglider,school,true,48,Dominico N20D / N10D (lightweight),"3-liner (split-A, Linklite or steel maillons)",https://flyozone.com/paragliders/products/gliders/geo-7,Lightweight beginner/intermediate EN-B. 1.4 kg lighter than Buzz Z7. Highest XC performance in the beginner-intermediate category. 5 sizes XS–L.,S,24.1,11.14,5.14,20.3,8.57,3.62,3.75,65,85,,,,,EN,B,,,
ozone,Geo 7,2023,paraglider,school,true,48,Dominico N20D / N10D (lightweight),"3-liner (split-A, Linklite or steel maillons)",https://flyozone.com/paragliders/products/gliders/geo-7,Lightweight beginner/intermediate EN-B. 1.4 kg lighter than Buzz Z7. Highest XC performance in the beginner-intermediate category. 5 sizes XS–L.,MS,25.8,11.52,5.14,21.8,8.87,3.61,4.0,75,95,,,,,EN,B,,,
ozone,Geo 7,2023,paraglider,school,true,48,Dominico N20D / N10D (lightweight),"3-liner (split-A, Linklite or steel maillons)",https://flyozone.com/paragliders/products/gliders/geo-7,Lightweight beginner/intermediate EN-B. 1.4 kg lighter than Buzz Z7. Highest XC performance in the beginner-intermediate category. 5 sizes XS–L.,ML,27.3,11.85,5.14,23.0,9.12,3.61,4.25,85,105,,,,,EN,B,,,
ozone,Geo 7,2023,paraglider,school,true,48,Dominico N20D / N10D (lightweight),"3-liner (split-A, Linklite or steel maillons)",https://flyozone.com/paragliders/products/gliders/geo-7,Lightweight beginner/intermediate EN-B. 1.4 kg lighter than Buzz Z7. Highest XC performance in the beginner-intermediate category. 5 sizes XS–L.,L,29.0,12.22,5.14,24.5,9.4,3.61,4.5,95,115,,,,,EN,B,,,
ozone,Vibe GT,2025,paraglider,intermediate,true,55,Dominico N20D (semi-light GT),"3-liner (split-A, mini-ribs, winglets)",https://flyozone.com/paragliders/products/gliders/vibe-gt,"New mid-B GT wing between Buzz and Rush. 55 cells, AR 5.45. Double 3D shaping, mini-ribs, winglets. Fills gap in Ozone EN-B range with GT semi-light construction.",XS,21.0,10.7,5.45,17.5,,3.82,3.8,55,72,,,,,EN,B,,,
ozone,Vibe GT,2025,paraglider,intermediate,true,55,Dominico N20D (semi-light GT),"3-liner (split-A, mini-ribs, winglets)",https://flyozone.com/paragliders/products/gliders/vibe-gt,"New mid-B GT wing between Buzz and Rush. 55 cells, AR 5.45. Double 3D shaping, mini-ribs, winglets. Fills gap in Ozone EN-B range with GT semi-light construction.",S,23.0,11.2,5.45,19.2,,3.82,4.05,65,82,,,,,EN,B,,,
ozone,Vibe GT,2025,paraglider,intermediate,true,55,Dominico N20D (semi-light GT),"3-liner (split-A, mini-ribs, winglets)",https://flyozone.com/paragliders/products/gliders/vibe-gt,"New mid-B GT wing between Buzz and Rush. 55 cells, AR 5.45. Double 3D shaping, mini-ribs, winglets. Fills gap in Ozone EN-B range with GT semi-light construction.",MS,25.0,11.67,5.45,20.8,,3.82,4.3,75,93,,,,,EN,B,,,
ozone,Vibe GT,2025,paraglider,intermediate,true,55,Dominico N20D (semi-light GT),"3-liner (split-A, mini-ribs, winglets)",https://flyozone.com/paragliders/products/gliders/vibe-gt,"New mid-B GT wing between Buzz and Rush. 55 cells, AR 5.45. Double 3D shaping, mini-ribs, winglets. Fills gap in Ozone EN-B range with GT semi-light construction.",ML,27.0,12.13,5.45,22.5,,3.82,4.55,85,103,,,,,EN,B,,,
ozone,Vibe GT,2025,paraglider,intermediate,true,55,Dominico N20D (semi-light GT),"3-liner (split-A, mini-ribs, winglets)",https://flyozone.com/paragliders/products/gliders/vibe-gt,"New mid-B GT wing between Buzz and Rush. 55 cells, AR 5.45. Double 3D shaping, mini-ribs, winglets. Fills gap in Ozone EN-B range with GT semi-light construction.",L,29.0,12.57,5.45,24.2,,3.82,4.8,95,115,,,,,EN,B,,,
ozone,Rush 6,2022,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71 (standard),3/2-liner hybrid (ACR from Delta 4),https://flyozone.com/paragliders/products/gliders/rush-6,Top-class EN-B XC wing derived from Delta 4. Hybrid 3/2 line layout with Active Control Risers. 6 sizes XS–XL. EN-B certified.,XS,20.05,10.69,5.7,17.0,8.43,4.18,4.32,55,72,,,,,EN,B,,,
ozone,Rush 6,2022,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71 (standard),3/2-liner hybrid (ACR from Delta 4),https://flyozone.com/paragliders/products/gliders/rush-6,Top-class EN-B XC wing derived from Delta 4. Hybrid 3/2 line layout with Active Control Risers. 6 sizes XS–XL. EN-B certified.,S,22.54,11.34,5.7,19.11,8.94,4.18,4.74,65,85,,,,,EN,B,,,
ozone,Rush 6,2022,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71 (standard),3/2-liner hybrid (ACR from Delta 4),https://flyozone.com/paragliders/products/gliders/rush-6,Top-class EN-B XC wing derived from Delta 4. Hybrid 3/2 line layout with Active Control Risers. 6 sizes XS–XL. EN-B certified.,MS,24.04,11.71,5.7,20.38,9.23,4.18,4.96,75,95,,,,,EN,B,,,
ozone,Rush 6,2022,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71 (standard),3/2-liner hybrid (ACR from Delta 4),https://flyozone.com/paragliders/products/gliders/rush-6,Top-class EN-B XC wing derived from Delta 4. Hybrid 3/2 line layout with Active Control Risers. 6 sizes XS–XL. EN-B certified.,ML,25.38,12.03,5.7,21.52,9.49,4.18,5.19,85,105,,,,,EN,B,,,
ozone,Rush 6,2022,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71 (standard),3/2-liner hybrid (ACR from Delta 4),https://flyozone.com/paragliders/products/gliders/rush-6,Top-class EN-B XC wing derived from Delta 4. Hybrid 3/2 line layout with Active Control Risers. 6 sizes XS–XL. EN-B certified.,L,26.7,12.34,5.7,22.64,9.73,4.18,5.39,95,115,,,,,EN,B,,,
ozone,Rush 6,2022,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71 (standard),3/2-liner hybrid (ACR from Delta 4),https://flyozone.com/paragliders/products/gliders/rush-6,Top-class EN-B XC wing derived from Delta 4. Hybrid 3/2 line layout with Active Control Risers. 6 sizes XS–XL. EN-B certified.,XL,28.67,12.79,5.7,24.31,10.09,4.18,5.65,110,130,,,,,EN,B,,,
ozone,Swift 6,2023,paraglider,xc,true,62,Dominico N20D / Porcher 7000 E71 (light),3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/swift-6,"Lightweight version of Rush 6, EN-B. 5 sizes XS–L, same geometry as Rush 6. ~900 g lighter per size. Top XC performance in lightweight B class.",XS,20.05,10.69,5.7,17.0,8.43,4.18,3.57,55,72,,,,,EN,B,,,
ozone,Swift 6,2023,paraglider,xc,true,62,Dominico N20D / Porcher 7000 E71 (light),3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/swift-6,"Lightweight version of Rush 6, EN-B. 5 sizes XS–L, same geometry as Rush 6. ~900 g lighter per size. Top XC performance in lightweight B class.",S,22.54,11.34,5.7,19.11,8.94,4.18,3.88,68,85,,,,,EN,B,,,
ozone,Swift 6,2023,paraglider,xc,true,62,Dominico N20D / Porcher 7000 E71 (light),3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/swift-6,"Lightweight version of Rush 6, EN-B. 5 sizes XS–L, same geometry as Rush 6. ~900 g lighter per size. Top XC performance in lightweight B class.",MS,24.04,11.71,5.7,20.38,9.23,4.18,4.11,75,95,,,,,EN,B,,,
ozone,Swift 6,2023,paraglider,xc,true,62,Dominico N20D / Porcher 7000 E71 (light),3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/swift-6,"Lightweight version of Rush 6, EN-B. 5 sizes XS–L, same geometry as Rush 6. ~900 g lighter per size. Top XC performance in lightweight B class.",ML,25.38,12.03,5.7,21.52,9.49,4.18,4.27,85,105,,,,,EN,B,,,
ozone,Swift 6,2023,paraglider,xc,true,62,Dominico N20D / Porcher 7000 E71 (light),3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/swift-6,"Lightweight version of Rush 6, EN-B. 5 sizes XS–L, same geometry as Rush 6. ~900 g lighter per size. Top XC performance in lightweight B class.",L,26.7,12.34,5.7,22.64,9.73,4.18,4.41,95,115,,,,,EN,B,,,
ozone,Delta 5,2025,paraglider,xc,true,65,Dominico 30D (standard weight),2-liner (A/B with adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. Successor to Delta 4. 65 cells, AR 6.07. Standard weight Dominico 30D. Ideal stepping stone to 2-liner technology. 6 sizes XS–XL.",XS,19.3,10.82,6.07,16.4,8.66,4.57,4.35,55,72,,,,,EN,C,,,
ozone,Delta 5,2025,paraglider,xc,true,65,Dominico 30D (standard weight),2-liner (A/B with adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. Successor to Delta 4. 65 cells, AR 6.07. Standard weight Dominico 30D. Ideal stepping stone to 2-liner technology. 6 sizes XS–XL.",S,21.1,11.32,6.07,17.9,9.04,4.57,4.75,65,82,,,,,EN,C,,,
ozone,Delta 5,2025,paraglider,xc,true,65,Dominico 30D (standard weight),2-liner (A/B with adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. Successor to Delta 4. 65 cells, AR 6.07. Standard weight Dominico 30D. Ideal stepping stone to 2-liner technology. 6 sizes XS–XL.",MS,22.8,11.77,6.07,19.4,9.34,4.5,5.05,75,92,,,,,EN,C,,,
ozone,Delta 5,2025,paraglider,xc,true,65,Dominico 30D (standard weight),2-liner (A/B with adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. Successor to Delta 4. 65 cells, AR 6.07. Standard weight Dominico 30D. Ideal stepping stone to 2-liner technology. 6 sizes XS–XL.",ML,24.4,12.16,6.07,20.7,9.66,4.5,5.35,85,105,,,,,EN,C,,,
ozone,Delta 5,2025,paraglider,xc,true,65,Dominico 30D (standard weight),2-liner (A/B with adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. Successor to Delta 4. 65 cells, AR 6.07. Standard weight Dominico 30D. Ideal stepping stone to 2-liner technology. 6 sizes XS–XL.",L,25.9,12.53,6.07,22.04,10.0,4.54,5.6,95,115,,,,,EN,C,,,
ozone,Delta 5,2025,paraglider,xc,true,65,Dominico 30D (standard weight),2-liner (A/B with adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. Successor to Delta 4. 65 cells, AR 6.07. Standard weight Dominico 30D. Ideal stepping stone to 2-liner technology. 6 sizes XS–XL.",XL,27.8,12.99,6.07,23.7,10.38,4.54,5.95,110,130,,,,,EN,C,,,
ozone,Alpina 4 GT,2025,paraglider,xc,true,66,Dominico N20D (semi-light GT),3-liner 2.5 (ACR system),https://flyozone.com/paragliders/products/gliders/alpina-4-gt,"Semi-light 3-liner EN-C with ACR system. GT construction: more robust than Alpina 4, 900 g lighter than Delta 5. AR 6.05, 66 cells. 5 sizes XS–L.",XS,19.3,10.81,6.05,16.4,8.52,4.43,3.75,55,70,,,,,EN,C,,,
ozone,Alpina 4 GT,2025,paraglider,xc,true,66,Dominico N20D (semi-light GT),3-liner 2.5 (ACR system),https://flyozone.com/paragliders/products/gliders/alpina-4-gt,"Semi-light 3-liner EN-C with ACR system. GT construction: more robust than Alpina 4, 900 g lighter than Delta 5. AR 6.05, 66 cells. 5 sizes XS–L.",S,21.7,11.46,6.05,18.4,9.04,4.44,4.0,65,85,,,,,EN,C,,,
ozone,Alpina 4 GT,2025,paraglider,xc,true,66,Dominico N20D (semi-light GT),3-liner 2.5 (ACR system),https://flyozone.com/paragliders/products/gliders/alpina-4-gt,"Semi-light 3-liner EN-C with ACR system. GT construction: more robust than Alpina 4, 900 g lighter than Delta 5. AR 6.05, 66 cells. 5 sizes XS–L.",MS,23.1,11.83,6.05,19.6,9.33,4.44,4.2,75,95,,,,,EN,C,,,
ozone,Alpina 4 GT,2025,paraglider,xc,true,66,Dominico N20D (semi-light GT),3-liner 2.5 (ACR system),https://flyozone.com/paragliders/products/gliders/alpina-4-gt,"Semi-light 3-liner EN-C with ACR system. GT construction: more robust than Alpina 4, 900 g lighter than Delta 5. AR 6.05, 66 cells. 5 sizes XS–L.",ML,24.4,12.16,6.05,20.7,9.59,4.44,4.42,85,105,,,,,EN,C,,,
ozone,Alpina 4 GT,2025,paraglider,xc,true,66,Dominico N20D (semi-light GT),3-liner 2.5 (ACR system),https://flyozone.com/paragliders/products/gliders/alpina-4-gt,"Semi-light 3-liner EN-C with ACR system. GT construction: more robust than Alpina 4, 900 g lighter than Delta 5. AR 6.05, 66 cells. 5 sizes XS–L.",L,25.7,12.47,6.05,21.8,9.84,4.44,4.7,95,115,,,,,EN,C,,,
ozone,Alpina 5,2025,paraglider,xc,true,65,"Dominico N20D / Porcher 7000 E71 (light, Zeolite GT structure)",2-liner (A/B with adjustable B-handles),https://flyozone.com/paragliders/products/gliders/alpina-5,Lightweight 2-liner EN-C derived from Delta 5. Uses Zeolite GT ultralight internals. ~800 g lighter than Delta 5. 5 sizes XS–L. EN-C.,XS,19.3,10.82,6.07,16.4,8.66,4.57,3.55,55,72,,,,,EN,C,,,
ozone,Alpina 5,2025,paraglider,xc,true,65,"Dominico N20D / Porcher 7000 E71 (light, Zeolite GT structure)",2-liner (A/B with adjustable B-handles),https://flyozone.com/paragliders/products/gliders/alpina-5,Lightweight 2-liner EN-C derived from Delta 5. Uses Zeolite GT ultralight internals. ~800 g lighter than Delta 5. 5 sizes XS–L. EN-C.,S,21.1,11.32,6.07,17.9,9.04,4.57,3.9,65,82,,,,,EN,C,,,
